Force,ANSYS,WORK,ANSYS2,WORK2
-0.039999999999999,2.05289,2.04574,2.06915,2.06192
-0.08,2.050205,2.04304,2.06642,2.05917
-0.119999999999999,2.04752,2.040335,2.06369,2.05642
-0.16,2.044835,2.03764,2.06096,2.05368
-0.199999999999999,2.042145,2.034935,2.05822,2.05093
-0.24,2.03946,2.03223,2.05549,2.04818
-0.279999999999999,2.036775,2.029525,2.05276,2.04543
-0.32,2.03409,2.026825,2.05003,2.04268
-0.359999999999999,2.0314,2.02412,2.04729,2.03993
-0.4,2.02871,2.021415,2.04456,2.03718
-0.44,2.026025,2.018705,2.04183,2.03442
-0.48,2.023335,2.016,2.03909,2.03167
-0.52,2.02064,2.013295,2.03635,2.02892
-0.560000000000001,2.017955,2.01058,2.03362,2.02616
-0.6,2.01526,2.007875,2.03088,2.02341
-0.640000000000001,2.012575,2.00517,2.02815,2.02066
-0.68,2.00988,2.002455,2.02541,2.0179
-0.720000000000001,2.007185,1.99975,2.02267,2.01515
-0.76,2.0045,1.997035,2.01994,2.01239
-0.800000000000001,2.001805,1.994325,2.0172,2.00963
-0.84,1.99911,1.991615,2.01446,2.00688
-0.880000000000001,1.996425,1.988905,2.01173,2.00412
-0.92,1.99373,1.986195,2.00899,2.00137
-0.960000000000001,1.991035,1.983485,2.00625,1.99861
-1,1.988345,1.98077,2.00352,1.99585
-1.04,1.98565,1.978055,2.00078,1.99309
-1.08,1.982955,1.975345,1.99804,1.99034
-1.12,1.98026,1.972635,1.9953,1.98758
-1.16,1.977565,1.96992,1.99256,1.98482
-1.2,1.97487,1.967205,1.98982,1.98206
-1.24,1.972175,1.96449,1.98708,1.9793
-1.28,1.96948,1.96178,1.98434,1.97655
-1.32,1.966785,1.959065,1.9816,1.97379
-1.36,1.96409,1.95635,1.97886,1.97103
-1.4,1.96139,1.953635,1.97612,1.96827
-1.44,1.958695,1.95092,1.97338,1.96551
-1.48,1.955995,1.9482,1.97063,1.96275
-1.52,1.953295,1.94548,1.96789,1.95998
-1.56,1.950595,1.942765,1.96515,1.95722
-1.6,1.947895,1.940045,1.9624,1.95446
-1.64,1.945195,1.93733,1.95966,1.9517
-1.68,1.94249,1.934615,1.95691,1.94894
-1.72,1.93979,1.93189,1.95417,1.94617
-1.76,1.93709,1.929175,1.95142,1.94341
-1.8,1.93439,1.926455,1.94868,1.94065
-1.84,1.931685,1.92373,1.94593,1.93788
-1.88,1.928985,1.921015,1.94319,1.93512
-1.92,1.92628,1.918295,1.94044,1.93236
-1.96,1.923575,1.91557,1.93769,1.92959
-2,1.92087,1.912855,1.93494,1.92683
-2.04,1.91817,1.91013,1.9322,1.92406
-2.08,1.91546,1.90741,1.92945,1.9213
-2.12,1.912755,1.904685,1.9267,1.91853
-2.16,1.91005,1.901965,1.92395,1.91577
-2.2,1.90735,1.89924,1.92121,1.913
-2.24,1.90464,1.896525,1.91846,1.91024
-2.28,1.901935,1.8938,1.91571,1.90747
-2.32,1.89923,1.89108,1.91296,1.90471
-2.36,1.89652,1.88835,1.91021,1.90194
-2.4,1.89381,1.885625,1.90746,1.89917
-2.44,1.8911,1.882905,1.9047,1.89641
-2.48,1.88839,1.88018,1.90195,1.89364
-2.52,1.885685,1.877455,1.8992,1.89087
-2.56,1.882975,1.874735,1.89645,1.88811
-2.6,1.880265,1.872005,1.8937,1.88534
-2.64,1.877555,1.86928,1.89095,1.88257
-2.68,1.87484,1.866555,1.88819,1.8798
-2.72,1.87213,1.86383,1.88544,1.87704
-2.76,1.86942,1.861105,1.88269,1.87427
-2.8,1.866705,1.85838,1.87993,1.8715
-2.84,1.863995,1.85565,1.87718,1.86873
-2.88,1.86128,1.852925,1.87442,1.86596
-2.92,1.85857,1.850195,1.87167,1.86319
-2.96,1.855855,1.847465,1.86891,1.86042
-3,1.85314,1.844735,1.86616,1.85765
-3.04,1.850425,1.842,1.8634,1.85487
-3.08,1.84771,1.839275,1.86064,1.8521
-3.12,1.845,1.836545,1.85789,1.84933
-3.16,1.84228,1.833815,1.85513,1.84656
-3.2,1.83957,1.83108,1.85238,1.84378
-3.24,1.836855,1.82835,1.84962,1.84101
-3.28,1.834135,1.82562,1.84686,1.83824
-3.32,1.831425,1.82288,1.84411,1.83546
-3.36,1.828705,1.82015,1.84135,1.83269
-3.4,1.82599,1.817415,1.83859,1.82991
-3.44,1.823275,1.814685,1.83584,1.82714
-3.48,1.82056,1.811945,1.83308,1.82436
-3.52,1.81784,1.809215,1.83032,1.82159
-3.56,1.81512,1.80648,1.82756,1.81881
-3.6,1.812405,1.803745,1.8248,1.81604
-3.64,1.80969,1.80101,1.82205,1.81326
-3.68,1.80697,1.79827,1.81929,1.81048
-3.72,1.80425,1.79554,1.81653,1.80771
-3.76,1.80153,1.7928,1.81377,1.80493
-3.8,1.798815,1.79006,1.81101,1.80215
-3.84,1.796095,1.78732,1.80825,1.79937
-3.88,1.793375,1.784575,1.80549,1.79658
-3.92,1.790655,1.781835,1.80273,1.7938
-3.96,1.787935,1.779095,1.79997,1.79102
-4,1.785215,1.776355,1.79721,1.78824
-4.04,1.782495,1.77361,1.79445,1.78546
-4.08,1.779775,1.77087,1.79169,1.78268
-4.12,1.777055,1.768125,1.78893,1.77989
-4.16,1.774335,1.765385,1.78617,1.77711
-4.2,1.77161,1.76264,1.78341,1.77433
-4.24,1.76889,1.759895,1.78065,1.77154
-4.28,1.76617,1.757155,1.77789,1.76876
-4.32,1.76345,1.75441,1.77513,1.76598
-4.36,1.76073,1.751665,1.77237,1.76319
-4.4,1.758,1.748925,1.7696,1.76041
-4.44,1.75528,1.74618,1.76684,1.75763
-4.48,1.75256,1.743435,1.76408,1.75484
-4.52,1.749835,1.74069,1.76132,1.75206
-4.56,1.747115,1.73794,1.75856,1.74927
-4.6,1.744385,1.7352,1.75579,1.74649
-4.64,1.741665,1.73245,1.75303,1.7437
-4.68,1.73894,1.729705,1.75027,1.74092
-4.72,1.73622,1.72696,1.74751,1.73813
-4.76,1.73349,1.724215,1.74474,1.73535
-4.8,1.73077,1.721465,1.74198,1.73256
-4.84,1.728045,1.718715,1.73922,1.72977
-4.88,1.72532,1.71597,1.73645,1.72699
-4.92,1.722595,1.71322,1.73369,1.7242
-4.96,1.719865,1.71047,1.73092,1.72141
-5,1.71714,1.70772,1.72816,1.71862
-5.04,1.71441,1.70497,1.72539,1.71583
-5.08,1.711685,1.702215,1.72263,1.71304
-5.12,1.708955,1.699465,1.71986,1.71025
-5.16,1.706225,1.69671,1.71709,1.70746
-5.2,1.7035,1.69395,1.71433,1.70466
-5.24,1.70077,1.691195,1.71156,1.70187
-5.28,1.69804,1.688435,1.70879,1.69907
-5.32,1.695305,1.685675,1.70602,1.69627
-5.36,1.69258,1.68292,1.70326,1.69348
-5.4,1.68985,1.68016,1.70049,1.69068
-5.44,1.68712,1.6774,1.69772,1.68788
-5.48,1.684385,1.674645,1.69495,1.68509
-5.52,1.681655,1.671885,1.69218,1.68229
-5.56,1.678925,1.66912,1.68941,1.67949
-5.6,1.67619,1.66636,1.68664,1.67669
-5.64,1.673455,1.6636,1.68387,1.67389
-5.68,1.67072,1.66084,1.6811,1.6711
-5.72,1.66798,1.65808,1.67832,1.6683
-5.76,1.665245,1.65532,1.67555,1.6655
-5.8,1.662515,1.652555,1.67278,1.6627
-5.84,1.659775,1.649795,1.67,1.6599
-5.88,1.65704,1.64703,1.66723,1.6571
-5.92,1.654295,1.64426,1.66445,1.65429
-5.96,1.65155,1.641495,1.66167,1.65149
-6,1.6488,1.63872,1.65888,1.64868
-6.04,1.646055,1.63595,1.6561,1.64587
-6.08,1.643305,1.633175,1.65331,1.64306
-6.12,1.64055,1.630395,1.65052,1.64024
-6.16,1.637805,1.62762,1.64774,1.63743
-6.2,1.635055,1.62484,1.64495,1.63461
-6.24,1.6323,1.622065,1.64216,1.6318
-6.28,1.629535,1.61928,1.63936,1.62898
-6.32,1.626765,1.6165,1.63655,1.62616
-6.36,1.624,1.613715,1.63375,1.62334
-6.4,1.621215,1.610925,1.63093,1.62051
-6.44,1.61843,1.60813,1.62811,1.61768
-6.48,1.615645,1.605325,1.62529,1.61484
-6.52,1.612855,1.602515,1.62246,1.61199
-6.56,1.61006,1.59969,1.61963,1.60913
-6.6,1.60726,1.596865,1.61679,1.60627
-6.64,1.604455,1.594035,1.61395,1.6034
-6.68,1.601645,1.5912,1.6111,1.60053
-6.72,1.59883,1.588365,1.60825,1.59766
-6.76,1.59601,1.585525,1.60539,1.59478
-6.8,1.59318,1.58268,1.60253,1.5919
-6.84,1.59035,1.579835,1.59966,1.58902
-6.88,1.5875,1.57699,1.59677,1.58614
-6.92,1.58465,1.57414,1.59389,1.58325
-6.96,1.58179,1.571285,1.59099,1.58036
-7,1.578925,1.568425,1.58809,1.57746
-7.04,1.576055,1.56556,1.58518,1.57456
-7.08,1.57318,1.56268,1.58227,1.57164
-7.12,1.570295,1.559795,1.57935,1.56872
-7.16,1.56741,1.556895,1.57643,1.56578
-7.2,1.564515,1.55399,1.57349,1.56284
-7.24,1.56161,1.551065,1.57055,1.55988
-7.28,1.558695,1.548135,1.5676,1.55691
-7.32,1.55577,1.5452,1.56464,1.55394
-7.36,1.55284,1.54225,1.56167,1.55095
-7.4,1.549905,1.539275,1.5587,1.54794
-7.44,1.546955,1.53628,1.55571,1.54491
-7.48,1.54399,1.53325,1.55271,1.54184
-7.52,1.54101,1.5302,1.54969,1.53875
-7.56,1.538015,1.52712,1.54666,1.53563
-7.6,1.53501,1.524025,1.54362,1.5325
-7.64,1.531995,1.520905,1.54056,1.52934
-7.68,1.52897,1.517775,1.5375,1.52617
-7.72,1.52591,1.514625,1.5344,1.52298
-7.76,1.522825,1.511455,1.53128,1.51977
-7.8,1.519705,1.508265,1.52812,1.51654
-7.84,1.516565,1.505045,1.52494,1.51328
-7.88,1.513365,1.501785,1.5217,1.50998
-7.92,1.510125,1.498485,1.51842,1.50664
-7.96,1.506825,1.495155,1.51508,1.50327
-8,1.50347,1.49178,1.51168,1.49985
-8.04,1.50006,1.488335,1.50823,1.49636
-8.08,1.49659,1.484835,1.50472,1.49282
-8.12,1.493055,1.481275,1.50114,1.48922
-8.16,1.489475,1.477655,1.49752,1.48555
-8.2,1.485845,1.47394,1.49384,1.48179
-8.24,1.482165,1.470115,1.49012,1.47792
-8.28,1.478435,1.46622,1.48634,1.47398
-8.32,1.47463,1.46222,1.48249,1.46993
-8.36,1.470775,1.458075,1.47859,1.46574
-8.4,1.466845,1.45378,1.47461,1.46139
-8.44,1.46283,1.44937,1.47055,1.45693
-8.48,1.45871,1.444845,1.46638,1.45235
-8.52,1.45447,1.4402,1.46209,1.44765
-8.56,1.450125,1.435435,1.45769,1.44283
-8.6,1.445675,1.430525,1.45319,1.43786
-8.64,1.44114,1.42547,1.4486,1.43275
-8.68,1.43649,1.420295,1.4439,1.42752
-8.72,1.431685,1.41498,1.43904,1.42214
-8.76,1.426675,1.409515,1.43397,1.41661
-8.8,1.421425,1.403905,1.42866,1.41094
-8.84,1.416005,1.39811,1.42318,1.40508
-8.88,1.41044,1.39214,1.41755,1.39904
-8.92,1.404625,1.386025,1.41167,1.39286
-8.96,1.39865,1.379725,1.40563,1.38649
-9,1.39256,1.373235,1.39947,1.37993
-9.04,1.38638,1.366605,1.39322,1.37323
-9.08,1.38007,1.359845,1.38684,1.3664
-9.12,1.3736,1.352975,1.3803,1.35945
-9.16,1.36704,1.345995,1.37367,1.3524
-9.2,1.36035,1.338885,1.36691,1.34521
-9.24,1.353555,1.33163,1.36004,1.33788
-9.28,1.346665,1.324165,1.35308,1.33034
-9.32,1.33965,1.316475,1.34599,1.32257
-9.36,1.332455,1.308625,1.33872,1.31464
-9.4,1.325055,1.3006,1.33124,1.30653
-9.44,1.31756,1.292455,1.32367,1.29831
-9.48,1.309865,1.284175,1.3159,1.28994
-9.52,1.301985,1.275745,1.30794,1.28143
-9.56,1.29399,1.26721,1.29986,1.27281
-9.6,1.28583,1.258555,1.29162,1.26407
-9.64,1.27758,1.249785,1.28329,1.25522
-9.68,1.269205,1.240905,1.27483,1.24625
-9.72,1.26069,1.2319,1.26623,1.23716
-9.76,1.251985,1.222775,1.25744,1.22795
-9.8,1.24315,1.21356,1.24852,1.21865
-9.84,1.234175,1.20422,1.23946,1.20922
-9.88,1.225015,1.194775,1.23022,1.19969
-9.92,1.215705,1.18523,1.22082,1.19006
-9.96,1.206255,1.175555,1.21128,1.18029
-10,1.196705,1.16575,1.20164,1.1704
-9.96,1.199435,1.168505,1.2044,1.17318
-9.92,1.20217,1.171255,1.20716,1.17596
-9.88,1.204905,1.17401,1.20992,1.17874
-9.84,1.20763,1.17676,1.21267,1.18151
-9.8,1.210365,1.179515,1.21543,1.18429
-9.76,1.213095,1.182265,1.21819,1.18707
-9.72,1.21583,1.18502,1.22095,1.18985
-9.68,1.218555,1.187775,1.2237,1.19263
-9.64,1.22129,1.19053,1.22646,1.19541
-9.6,1.22402,1.193275,1.22922,1.19818
-9.56,1.22675,1.19603,1.23197,1.20096
-9.52,1.22948,1.198785,1.23473,1.20374
-9.48,1.232215,1.201535,1.23749,1.20652
-9.44,1.234945,1.20429,1.24025,1.2093
-9.4,1.23767,1.207045,1.243,1.21208
-9.36,1.240405,1.20979,1.24576,1.21485
-9.32,1.243135,1.212545,1.24852,1.21763
-9.28,1.245865,1.215295,1.25127,1.22041
-9.24,1.248595,1.21805,1.25403,1.22319
-9.2,1.251325,1.220805,1.25679,1.22597
-9.16,1.254055,1.223555,1.25954,1.22875
-9.12,1.256785,1.22631,1.2623,1.23153
-9.08,1.259515,1.22906,1.26506,1.23431
-9.04,1.262245,1.23181,1.26782,1.23708
-9,1.264975,1.23456,1.27057,1.23986
-8.96,1.267705,1.237315,1.27333,1.24264
-8.92,1.270435,1.240065,1.27609,1.24542
-8.88,1.27316,1.24282,1.27884,1.2482
-8.84,1.27589,1.24557,1.2816,1.25098
-8.8,1.27862,1.248325,1.28436,1.25376
-8.76,1.28135,1.251075,1.28711,1.25654
-8.72,1.28408,1.25383,1.28987,1.25932
-8.68,1.286805,1.256575,1.29262,1.26209
-8.64,1.289535,1.25933,1.29538,1.26487
-8.6,1.292265,1.26208,1.29814,1.26765
-8.56,1.29499,1.26483,1.30089,1.27043
-8.52,1.29772,1.267585,1.30365,1.27321
-8.48,1.30045,1.270335,1.30641,1.27599
-8.44,1.303175,1.27309,1.30916,1.27877
-8.4,1.305905,1.27584,1.31192,1.28155
-8.36,1.308635,1.27859,1.31468,1.28433
-8.32,1.31136,1.281345,1.31743,1.28711
-8.28,1.31409,1.28409,1.32019,1.28988
-8.24,1.316815,1.28684,1.32294,1.29266
-8.2,1.319545,1.289595,1.3257,1.29544
-8.16,1.322275,1.292345,1.32846,1.29822
-8.12,1.324995,1.295095,1.33121,1.301
-8.08,1.327725,1.297845,1.33397,1.30378
-8.04,1.33045,1.3006,1.33672,1.30656
-8,1.33318,1.30335,1.33948,1.30934
-7.96,1.335905,1.3061,1.34223,1.31212
-7.92,1.338635,1.30885,1.34499,1.3149
-7.88,1.34136,1.311595,1.34775,1.31767
-7.84,1.344085,1.31435,1.3505,1.32045
-7.8,1.346815,1.3171,1.35326,1.32323
-7.76,1.349535,1.31985,1.35601,1.32601
-7.72,1.352265,1.3226,1.35877,1.32879
-7.68,1.35499,1.32535,1.36152,1.33157
-7.64,1.357715,1.3281,1.36428,1.33435
-7.6,1.36044,1.33085,1.36703,1.33713
-7.56,1.36317,1.3336,1.36979,1.33991
-7.52,1.36589,1.33635,1.37254,1.34269
-7.48,1.36862,1.3391,1.3753,1.34547
-7.44,1.371345,1.341845,1.37806,1.34824
-7.4,1.37407,1.344595,1.38081,1.35102
-7.36,1.376795,1.347345,1.38357,1.3538
-7.32,1.37952,1.350095,1.38632,1.35658
-7.28,1.382245,1.352845,1.38908,1.35936
-7.24,1.38497,1.355595,1.39183,1.36214
-7.2,1.38769,1.358345,1.39458,1.36492
-7.16,1.39042,1.361095,1.39734,1.3677
-7.12,1.39314,1.363845,1.40009,1.37048
-7.08,1.39587,1.36659,1.40285,1.37325
-7.04,1.39859,1.36934,1.4056,1.37603
-7,1.401315,1.37209,1.40836,1.37881
-6.96,1.40404,1.374835,1.41111,1.38159
-6.92,1.406765,1.377585,1.41387,1.38437
-6.88,1.409485,1.380335,1.41662,1.38715
-6.84,1.412215,1.383085,1.41938,1.38993
-6.8,1.414935,1.38583,1.42213,1.3927
-6.76,1.417655,1.388575,1.42488,1.39548
-6.72,1.42038,1.391325,1.42764,1.39826
-6.68,1.423105,1.394075,1.43039,1.40104
-6.64,1.42583,1.396825,1.43315,1.40382
-6.6,1.42855,1.39957,1.4359,1.4066
-6.56,1.431275,1.40232,1.43866,1.40938
-6.52,1.433995,1.405065,1.44141,1.41215
-6.48,1.436715,1.40781,1.44416,1.41493
-6.44,1.439445,1.41056,1.44692,1.41771
-6.4,1.442165,1.413305,1.44967,1.42049
-6.36,1.444885,1.416055,1.45242,1.42327
-6.32,1.44761,1.4188,1.45518,1.42605
-6.28,1.45033,1.421545,1.45793,1.42882
-6.24,1.453055,1.424295,1.46069,1.4316
-6.2,1.455775,1.42704,1.46344,1.43438
-6.16,1.458495,1.42979,1.46619,1.43716
-6.12,1.46122,1.432535,1.46895,1.43994
-6.08,1.46394,1.435275,1.4717,1.44271
-6.04,1.46666,1.438025,1.47445,1.44549
-6,1.46938,1.44077,1.47721,1.44827
-5.96,1.4721,1.44352,1.47996,1.45105
-5.92,1.47482,1.44626,1.48271,1.45382
-5.88,1.477545,1.449005,1.48547,1.4566
-5.84,1.480265,1.451755,1.48822,1.45938
-5.8,1.482985,1.4545,1.49097,1.46216
-5.76,1.4857,1.45724,1.49372,1.46493
-5.72,1.488425,1.45999,1.49648,1.46771
-5.68,1.491145,1.462735,1.49923,1.47049
-5.64,1.493865,1.46548,1.50198,1.47327
-5.6,1.49658,1.46822,1.50473,1.47604
-5.56,1.499305,1.47097,1.50749,1.47882
-5.52,1.502025,1.473715,1.51024,1.4816
-5.48,1.50474,1.47646,1.51299,1.48438
-5.44,1.50746,1.4792,1.51574,1.48715
-5.4,1.51018,1.481945,1.5185,1.48993
-5.36,1.5129,1.48469,1.52125,1.49271
-5.32,1.51562,1.48743,1.524,1.49548
-5.28,1.518335,1.49018,1.52675,1.49826
-5.24,1.521055,1.492925,1.5295,1.50104
-5.2,1.523775,1.495665,1.53226,1.50381
-5.16,1.526495,1.49841,1.53501,1.50659
-5.12,1.52921,1.501155,1.53776,1.50937
-5.08,1.53193,1.503895,1.54051,1.51214
-5.04,1.534645,1.506635,1.54326,1.51492
-5,1.537365,1.509375,1.54602,1.51769
-4.96,1.540085,1.51212,1.54877,1.52047
-4.92,1.5428,1.514865,1.55152,1.52325
-4.88,1.54552,1.517605,1.55427,1.52602
-4.84,1.548235,1.52035,1.55702,1.5288
-4.8,1.55095,1.52309,1.55977,1.53157
-4.76,1.553665,1.52583,1.56252,1.53435
-4.72,1.556385,1.528575,1.56527,1.53713
-4.68,1.559105,1.531315,1.56803,1.5399
-4.64,1.56182,1.53406,1.57078,1.54268
-4.6,1.564535,1.536795,1.57353,1.54545
-4.56,1.567255,1.53954,1.57628,1.54823
-4.52,1.56997,1.54228,1.57903,1.551
-4.48,1.572685,1.54502,1.58178,1.55378
-4.44,1.5754,1.54776,1.58453,1.55655
-4.4,1.578115,1.550505,1.58728,1.55933
-4.36,1.58083,1.55324,1.59003,1.5621
-4.32,1.583545,1.555985,1.59278,1.56488
-4.28,1.58626,1.55872,1.59553,1.56765
-4.24,1.588975,1.561465,1.59828,1.57043
-4.2,1.59169,1.5642,1.60103,1.5732
-4.16,1.594405,1.566945,1.60378,1.57598
-4.12,1.59712,1.56968,1.60653,1.57875
-4.08,1.599835,1.57242,1.60928,1.58152
-4.04,1.60255,1.57516,1.61203,1.5843
-4,1.605265,1.577895,1.61478,1.58707
-3.96,1.60798,1.58064,1.61753,1.58985
-3.92,1.610695,1.583375,1.62028,1.59262
-3.88,1.61341,1.58611,1.62303,1.59539
-3.84,1.61612,1.588855,1.62578,1.59817
-3.8,1.618835,1.59159,1.62853,1.60094
-3.76,1.62155,1.594325,1.63128,1.60371
-3.72,1.624265,1.597065,1.63403,1.60649
-3.68,1.626975,1.5998,1.63678,1.60926
-3.64,1.62969,1.60254,1.63953,1.61203
-3.6,1.632405,1.60528,1.64228,1.61481
-3.56,1.63511,1.608015,1.64502,1.61758
-3.52,1.637825,1.61075,1.64777,1.62035
-3.48,1.64054,1.61349,1.65052,1.62313
-3.44,1.64325,1.616225,1.65327,1.6259
-3.4,1.645965,1.61896,1.65602,1.62867
-3.36,1.64868,1.621695,1.65877,1.63144
-3.32,1.65139,1.62443,1.66152,1.63421
-3.28,1.654105,1.62717,1.66427,1.63699
-3.24,1.65681,1.629905,1.66701,1.63976
-3.2,1.659525,1.63264,1.66976,1.64253
-3.16,1.662235,1.63537,1.67251,1.6453
-3.12,1.664945,1.638105,1.67526,1.64807
-3.08,1.66766,1.640845,1.67801,1.65085
-3.04,1.670365,1.64358,1.68075,1.65362
-3,1.67308,1.646315,1.6835,1.65639
-2.96,1.67579,1.649045,1.68625,1.65916
-2.92,1.6785,1.65178,1.689,1.66193
-2.88,1.68121,1.654515,1.69174,1.6647
-2.84,1.68392,1.657245,1.69449,1.66747
-2.8,1.68663,1.65998,1.69724,1.67024
-2.76,1.68934,1.662715,1.69999,1.67301
-2.72,1.69205,1.665445,1.70273,1.67578
-2.68,1.69476,1.66818,1.70548,1.67855
-2.64,1.69747,1.67091,1.70823,1.68132
-2.6,1.700175,1.673645,1.71097,1.68409
-2.56,1.702885,1.676375,1.71372,1.68686
-2.52,1.705595,1.67911,1.71647,1.68963
-2.48,1.7083,1.68184,1.71921,1.6924
-2.44,1.71101,1.68457,1.72196,1.69517
-2.4,1.71372,1.687305,1.72471,1.69794
-2.36,1.716425,1.690035,1.72745,1.70071
-2.32,1.719135,1.692765,1.7302,1.70348
-2.28,1.721845,1.6955,1.73295,1.70625
-2.24,1.72455,1.69823,1.73569,1.70902
-2.2,1.72726,1.700955,1.73844,1.71178
-2.16,1.729965,1.703685,1.74118,1.71455
-2.12,1.732675,1.706415,1.74393,1.71732
-2.08,1.735385,1.709145,1.74668,1.72009
-2.04,1.73809,1.71188,1.74942,1.72286
-2,1.7408,1.714605,1.75217,1.72562
-1.96,1.7435,1.717335,1.75491,1.72839
-1.92,1.74621,1.720065,1.75766,1.73116
-1.88,1.748915,1.722795,1.7604,1.73393
-1.84,1.751625,1.72552,1.76315,1.73669
-1.8,1.754325,1.72825,1.76589,1.73946
-1.76,1.757035,1.73098,1.76864,1.74223
-1.72,1.75974,1.7337,1.77138,1.74499
-1.68,1.762445,1.73643,1.77413,1.74776
-1.64,1.76515,1.73916,1.77687,1.75053
-1.6,1.76786,1.741885,1.77962,1.75329
-1.56,1.77056,1.744615,1.78236,1.75606
-1.52,1.773265,1.74734,1.7851,1.75883
-1.48,1.77597,1.750065,1.78785,1.76159
-1.44,1.778675,1.752795,1.79059,1.76436
-1.4,1.78138,1.755515,1.79334,1.76712
-1.36,1.784085,1.758245,1.79608,1.76989
-1.32,1.78679,1.76097,1.79883,1.77265
-1.28,1.78949,1.763695,1.80157,1.77542
-1.24,1.792195,1.76642,1.80431,1.77818
-1.2,1.7949,1.769145,1.80706,1.78095
-1.16,1.797605,1.77187,1.8098,1.78371
-1.12,1.800305,1.774595,1.81254,1.78648
-1.08,1.80301,1.777315,1.81529,1.78924
-1.04,1.80571,1.78004,1.81803,1.792
-1,1.808415,1.782765,1.82077,1.79477
-0.960000000000001,1.81112,1.785485,1.82352,1.79753
-0.92,1.81382,1.78821,1.82626,1.80029
-0.880000000000001,1.81652,1.790935,1.829,1.80306
-0.84,1.81922,1.793655,1.83174,1.80582
-0.800000000000001,1.82193,1.796375,1.83449,1.80858
-0.76,1.82463,1.799105,1.83723,1.81135
-0.720000000000001,1.82733,1.801825,1.83997,1.81411
-0.68,1.83003,1.804545,1.84271,1.81687
-0.640000000000001,1.832735,1.807265,1.84546,1.81963
-0.6,1.835435,1.809985,1.8482,1.82239
-0.560000000000001,1.838135,1.81271,1.85094,1.82516
-0.52,1.840835,1.81543,1.85368,1.82792
-0.48,1.843535,1.81815,1.85642,1.83068
-0.44,1.846235,1.82087,1.85916,1.83344
-0.4,1.84894,1.823585,1.86191,1.8362
-0.359999999999999,1.851635,1.826305,1.86465,1.83896
-0.32,1.854335,1.829025,1.86739,1.84172
-0.279999999999999,1.857035,1.831745,1.87013,1.84448
-0.24,1.859735,1.834465,1.87287,1.84724
-0.199999999999999,1.862435,1.83718,1.87561,1.85
-0.16,1.86513,1.8399,1.87835,1.85276
-0.119999999999999,1.86783,1.84262,1.88109,1.85552
-0.08,1.87053,1.845335,1.88383,1.85828
-0.039999999999999,1.87323,1.848055,1.88657,1.86104
0,1.875925,1.85077,1.88931,1.8638
